id,last_modified,code,lat,lon,poi_type,name
1bis,12-12-2022,1bis,43.9199685046433,10.3746780841342,installation,01
25,12-12-2022,25,43.9199765150703,10.3746936532751,installation,01a
26,12-12-2022,26,43.9199862218217,10.3747131474095,installation,01b
27,12-12-2022,27,43.9199956458506,10.3747304173809,installation,01c
2bis,12-12-2022,2bis,43.9201983502772,10.3746747119483,installation,02
28,12-12-2022,28,43.9201983563511,10.3747072599192,installation,02a
29,12-12-2022,29,43.9202046136673,10.3747304418796,installation,02b
8bis,12-12-2022,8bis,43.9204326575577,10.3735640657995,installation,07
30,12-12-2022,30,43.9204389209232,10.3735150550798,installation,07a
9bis,12-12-2022,9bis,43.9204857881546,10.3730813155119,installation,08
31,12-12-2022,31,43.9204817116807,10.3731162599764,installation,08a
10bis,12-12-2022,10bis,43.9203520878436,10.372559346045,installation,09
32,12-12-2022,32,43.9203416250386,10.3725081951591,installation,09a
33,12-12-2022,33,43.9203347212125,10.3724747630287,installation,09b
34,12-12-2022,34,43.9203271937031,10.3724410862089,installation,09c
13bis,12-12-2022,13bis,43.9202736170242,10.3719546484825,installation,15
35,12-12-2022,35,43.9202554677765,10.3719486492953,installation,15a
36,12-12-2022,36,43.9202342756641,10.3719440483622,installation,15b